7_days,14_days,target
2.8628571428571425,3.6235714285714287,3.34
2.8628571428571425,3.1235714285714287,2.34
2.5271428571428567,3.051428571428571,3.33
3.3521428571428564,3.3924999999999996,1.34
3.1607142857142856,3.2975,3.67
3.2549999999999994,3.2489285714285714,2.33
3.302142857142857,3.343928571428571,3.34
3.539285714285714,3.2010714285714283,8.34
3.445,3.1539285714285716,4.0
3.730714285714286,3.1289285714285713,5.0
2.9542857142857146,3.1532142857142853,0.0
3.05,3.105357142857143,2.0
2.8114285714285714,3.0332142857142856,2.33
2.8128571428571427,3.0575,4.0
3.5271428571428567,3.5332142857142856,7.0
3.7642857142857147,3.604642857142857,6.33
4.002857142857144,3.8667857142857143,0.0
3.8114285714285714,3.382857142857143,6.0
3.5728571428571425,3.3114285714285714,6.0
3.572857142857143,3.192142857142857,12.0
3.6671428571428573,3.2399999999999998,3.34
3.4757142857142855,3.5014285714285713,1.0
3.8085714285714283,3.7864285714285715,8.0
3.094285714285714,3.5485714285714285,3.0
3.951428571428571,3.8814285714285717,8.0
4.522857142857142,4.047857142857143,5.34
5.904285714285714,4.738571428571428,4.33
5.8100000000000005,4.738571428571428,2.0
4.952857142857143,4.214285714285714,9.0
5.191428571428572,4.5,2.67
5.62,4.357142857142857,1.34
5.905714285714287,4.928571428571429,4.0
5.811428571428571,5.167142857142857,1.34
4.715714285714286,5.3100000000000005,6.0
4.524285714285714,5.167142857142857,4.0
5.667142857142857,5.3100000000000005,4.0
4.905714285714287,5.048571428571429,5.36
4.668571428571428,5.144285714285715,3.0
4.097142857142857,5.001428571428572,7.0
3.525714285714286,4.668571428571428,3.02
3.7642857142857147,4.24,3.0
4.05,4.287142857142857,5.68
3.335714285714286,4.501428571428572,4.34
3.7199999999999998,4.312857142857143,6.99
3.957142857142857,4.312857142857143,4.0
4.385714285714286,4.241428571428572,3.0
4.6257142857142854,4.075714285714286,2.02
4.197142857142857,3.9807142857142854,3.34
4.437142857142858,4.243571428571428,5.0
4.485714285714286,3.9107142857142856,1.0
4.718571428571429,4.219285714285714,1.0
4.861428571428571,4.409285714285715,3.34
4.29,4.3378571428571435,2.34
4.147142857142858,4.386428571428572,6.34
4.195714285714286,4.196428571428571,1.0
4.098571428571428,4.267857142857143,10.0
3.6214285714285714,4.053571428571429,5.34
2.7657142857142856,3.742142857142857,6.34
2.6714285714285713,3.766428571428571,3.0
2.577142857142857,3.4335714285714287,5.0
3.1942857142857144,3.670714285714286,0.0
2.86,3.527857142857143,1.0
3.5742857142857143,3.836428571428571,4.33
4.194285714285714,3.907857142857143,3.34
4.957142857142857,3.861428571428571,10.5
4.908571428571428,3.7899999999999996,1.0
5.288571428571428,3.9328571428571424,8.34
4.382857142857143,3.7885714285714287,3.33
4.382857142857143,3.621428571428571,7.33
3.5728571428571425,3.573571428571429,2.34
3.287142857142857,3.7407142857142857,2.33
3.8814285714285717,4.4192857142857145,9.0
3.595714285714286,4.252142857142857,5.67
4.072857142857143,4.680714285714286,0.0
4.548571428571429,4.465714285714286,6.0
5.452857142857143,4.917857142857143,9.0
5.168571428571428,4.3707142857142856,4.68
5.024285714285715,4.155714285714286,2.34
4.8100000000000005,4.345714285714286,3.0
5.477142857142857,4.536428571428572,0.0
4.285714285714286,4.179285714285714,2.0
